"class","user","day","time_of_day","client","true_time","user_estimate"
"short","Evelyn","Tuesday","Lunchtime","Weyland-Yutani",3,13
"short","Yvette","Friday","Lunchtime","Mooby's Family Restaurants",14,9
"short","Tom","Tuesday","Morning","Mooby's Family Restaurants",6,12
"long","Evelyn","Friday","Morning","Weyland-Yutani",81,81
"long","Cindy","Thursday","Lunchtime","Weyland-Yutani",99,96
"short","Evelyn","Monday","Morning","OCP Inc.",6,100
"short","Tom","Thursday","Lunchtime","Weyland-Yutani",14,4
"short","Yvette","Friday","Morning","Tyrell",11,10
"short","Tom","Monday","Lunchtime","Cyberdyne Systems",10,5
"long","Evelyn","Wednesday","Morning","Cyberdyne Systems",103,73
"short","Yvette","Friday","Morning","OCP Inc.",7,15
"long","Tom","Monday","Afternoon","Mooby's Family Restaurants",93,100
"short","Tom","Tuesday","Lunchtime","OCP Inc.",3,9
"long","Yvette","Wednesday","Afternoon","Mooby's Family Restaurants",112,126
"long","Tom","Tuesday","Afternoon","OCP Inc.",97,74
"short","Jim","Monday","Lunchtime","OCP Inc.",4,2
"short","Yvette","Thursday","Morning","OCP Inc.",16,12
"short","Tom","Friday","Lunchtime","Mooby's Family Restaurants",12,1
"long","Yvette","Monday","Afternoon","Tyrell",119,107
"short","Evelyn","Wednesday","Afternoon","OCP Inc.",1,120
"short","Evelyn","Thursday","Morning","Weyland-Yutani",11,13
"long","Cindy","Monday","Morning","Cyberdyne Systems",105,81
"short","Evelyn","Tuesday","Morning","OCP Inc.",15,2
"short","Cindy","Monday","Afternoon","Cyberdyne Systems",9,88
"short","Cindy","Thursday","Afternoon","Tyrell",9,7
"short","Jim","Friday","Lunchtime","Weyland-Yutani",9,3
"long","Tom","Tuesday","Lunchtime","Cyberdyne Systems",96,112
"short","Tom","Thursday","Afternoon","Tyrell",5,15
"short","Yvette","Monday","Lunchtime","Tyrell",7,5
"long","Jim","Monday","Afternoon","Tyrell",97,108
"short","Tom","Friday","Lunchtime","OCP Inc.",11,9
"short","Cindy","Tuesday","Afternoon","Mooby's Family Restaurants",13,1
"long","Tom","Wednesday","Afternoon","Mooby's Family Restaurants",93,94
"short","Cindy","Monday","Morning","Cyberdyne Systems",7,7
"short","Tom","Tuesday","Morning","OCP Inc.",10,11
"short","Yvette","Friday","Afternoon","Weyland-Yutani",6,12
"long","Yvette","Friday","Afternoon","OCP Inc.",104,83
"long","Cindy","Monday","Afternoon","Cyberdyne Systems",106,99
"long","Tom","Monday","Lunchtime","Mooby's Family Restaurants",125,89
"short","Cindy","Friday","Lunchtime","Mooby's Family Restaurants",10,3
"short","Cindy","Thursday","Afternoon","Mooby's Family Restaurants",9,7
"short","Evelyn","Thursday","Morning","Weyland-Yutani",8,3
"short","Evelyn","Wednesday","Afternoon","Tyrell",8,10
"short","Evelyn","Tuesday","Lunchtime","Weyland-Yutani",7,14
"short","Jim","Wednesday","Afternoon","OCP Inc.",5,4
"short","Jim","Friday","Lunchtime","Weyland-Yutani",14,7
"short","Cindy","Tuesday","Lunchtime","Mooby's Family Restaurants",3,5
"short","Tom","Tuesday","Morning","Tyrell",9,11
"short","Yvette","Wednesday","Morning","Cyberdyne Systems",3,3
"short","Evelyn","Monday","Lunchtime","OCP Inc.",14,1
"short","Cindy","Tuesday","Lunchtime","Weyland-Yutani",6,6
"short","Evelyn","Tuesday","Lunchtime","Mooby's Family Restaurants",6,11
"short","Jim","Monday","Morning","Cyberdyne Systems",12,15
"short","Jim","Monday","Morning","Tyrell",11,8
"long","Jim","Tuesday","Afternoon","OCP Inc.",85,81
"long","Tom","Monday","Lunchtime","OCP Inc.",92,10
"short","Cindy","Wednesday","Lunchtime","Cyberdyne Systems",8,6
"long","Tom","Tuesday","Lunchtime","OCP Inc.",83,116
"short","Evelyn","Friday","Afternoon","Cyberdyne Systems",8,14
"short","Tom","Wednesday","Afternoon","OCP Inc.",4,10
"short","Tom","Wednesday","Lunchtime","Tyrell",8,2
"short","Jim","Friday","Afternoon","Mooby's Family Restaurants",5,10
"long","Tom","Thursday","Afternoon","Mooby's Family Restaurants",111,90
"short","Jim","Wednesday","Lunchtime","OCP Inc.",4,5
"short","Evelyn","Friday","Lunchtime","Weyland-Yutani",10,5
"short","Jim","Wednesday","Morning","Cyberdyne Systems",6,6
"short","Tom","Monday","Afternoon","OCP Inc.",10,9
"long","Tom","Thursday","Morning","Mooby's Family Restaurants",101,119
"short","Evelyn","Tuesday","Morning","Cyberdyne Systems",9,2
"short","Evelyn","Monday","Afternoon","Tyrell",3,2
"short","Yvette","Monday","Morning","Mooby's Family Restaurants",9,5
"short","Cindy","Thursday","Afternoon","Cyberdyne Systems",10,5
"short","Cindy","Wednesday","Lunchtime","Cyberdyne Systems",7,9
"short","Tom","Friday","Afternoon","Tyrell",16,9
"long","Yvette","Thursday","Morning","Weyland-Yutani",96,102
"short","Jim","Friday","Morning","Tyrell",7,12
"short","Cindy","Monday","Lunchtime","OCP Inc.",8,10
"short","Cindy","Wednesday","Morning","Weyland-Yutani",15,10
"short","Cindy","Friday","Lunchtime","Mooby's Family Restaurants",3,5
"short","Cindy","Tuesday","Lunchtime","Weyland-Yutani",7,8
"short","Evelyn","Tuesday","Afternoon","Weyland-Yutani",11,109
"short","Evelyn","Tuesday","Morning","OCP Inc.",6,7
"long","Evelyn","Tuesday","Lunchtime","Tyrell",121,62
"long","Evelyn","Friday","Morning","Tyrell",109,101
"long","Yvette","Wednesday","Afternoon","Tyrell",84,72
"short","Evelyn","Monday","Lunchtime","OCP Inc.",1,110
"short","Evelyn","Tuesday","Lunchtime","Cyberdyne Systems",16,5
"short","Cindy","Wednesday","Afternoon","Weyland-Yutani",11,1
"short","Cindy","Monday","Morning","OCP Inc.",3,1
"short","Cindy","Monday","Morning","Tyrell",5,1
"short","Evelyn","Friday","Morning","Weyland-Yutani",1,8
"short","Cindy","Thursday","Lunchtime","Tyrell",6,12
"short","Jim","Wednesday","Afternoon","Tyrell",4,7
"long","Yvette","Friday","Afternoon","OCP Inc.",94,4
"short","Cindy","Tuesday","Morning","Cyberdyne Systems",10,10
"short","Evelyn","Wednesday","Morning","Weyland-Yutani",8,7
"short","Jim","Tuesday","Lunchtime","Mooby's Family Restaurants",11,5
"short","Yvette","Friday","Afternoon","Mooby's Family Restaurants",1,12
"short","Jim","Wednesday","Afternoon","Tyrell",5,9
"short","Jim","Monday","Lunchtime","Weyland-Yutani",12,7
"short","Tom","Thursday","Lunchtime","Mooby's Family Restaurants",3,8
"long","Evelyn","Thursday","Morning","OCP Inc.",102,88
"short","Tom","Wednesday","Morning","Tyrell",5,8
"short","Yvette","Thursday","Morning","Tyrell",6,16
"short","Cindy","Friday","Morning","OCP Inc.",1,63
"short","Yvette","Tuesday","Morning","Tyrell",6,13
"short","Evelyn","Tuesday","Lunchtime","Weyland-Yutani",6,15
"short","Cindy","Monday","Lunchtime","Cyberdyne Systems",7,14
"long","Yvette","Friday","Morning","OCP Inc.",103,105
"long","Tom","Thursday","Afternoon","Mooby's Family Restaurants",97,92
"long","Cindy","Thursday","Morning","Weyland-Yutani",92,95
"long","Tom","Thursday","Lunchtime","Tyrell",105,102
"short","Yvette","Monday","Lunchtime","Weyland-Yutani",2,5
"short","Evelyn","Friday","Afternoon","Mooby's Family Restaurants",11,15
"short","Yvette","Tuesday","Lunchtime","Cyberdyne Systems",9,85
"short","Jim","Wednesday","Afternoon","Tyrell",3,3
"short","Jim","Tuesday","Afternoon","OCP Inc.",9,9
"short","Yvette","Monday","Afternoon","Weyland-Yutani",14,14
"long","Yvette","Monday","Morning","Tyrell",79,79
"short","Evelyn","Thursday","Lunchtime","Mooby's Family Restaurants",4,5
"short","Yvette","Tuesday","Morning","Weyland-Yutani",9,5
"short","Jim","Wednesday","Afternoon","Tyrell",9,10
"long","Evelyn","Tuesday","Morning","Mooby's Family Restaurants",90,15
"short","Evelyn","Monday","Lunchtime","OCP Inc.",10,9
